Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Zürich,Away,90',Substitution,Nils Reichmuth,Tactical,,Jonathan Okita,4244795
FC Zürich,Away,90',Substitution,Cheveyo Tsawa,Tactical,,Antonio Marchesano,4244795
FC Zürich,Away,15',Yellow Card,Junior Ligue,Foul,,,4244795
FC Luzern,Home,57',Yellow Card,Nicky Beloko,Foul,,,4244795
FC Luzern,Home,61',Yellow Card,Leny Meyer,Foul,,,4244795
FC Lugano,Away,11',Goal,Mohamed Belhadj Mahmoud,Left-footed shot,Uran Bislimi,,4244796
Servette FC,Home,83',Goal,Miroslav Stevanovic,Header,Dereck Kutesa,,4244796
Servette FC,Home,89',Goal,Bendegúz Bolla,Penalty,,,4244796
Servette FC,Home,61',Substitution,Bendegúz Bolla,Tactical,,Bradley Mazikou,4244796
FC Lugano,Away,62',Substitution,Mattia Bottani,Tactical,,Hicham Mahou,4244796
FC Lugano,Away,79',Substitution,Roman Macek,Tactical,,Zan Celar,4244796
FC Lugano,Away,79',Substitution,Jhon Espinoza,Tactical,,Mohamed Belhadj Mahmoud,4244796
FC Lugano,Away,79',Substitution,Yanis Cimignani,Tactical,,Uran Bislimi,4244796
FC Lugano,Away,90',Substitution,Shkelqim Vladi,Tactical,,Albian Hajdari,4244796
Servette FC,Home,90',Substitution,Théo Magnin,Tactical,,Alexis Antunes,4244796
FC Lugano,Away,18',Yellow Card,Hicham Mahou,Foul,,,4244796
FC Lugano,Away,43',Yellow Card,Jonathan Sabbatini,Foul,,,4244796
Servette FC,Home,60',Yellow Card,Bradley Mazikou,Foul,,,4244796
FC Lugano,Away,75',Direct Red Card,Anto Grgic,Serious foul,,,4244796
Servette FC,Home,78',Yellow Card,Dylan Bronn,Unsporting behaviour,,,4244796
Servette FC,Home,90',Yellow Card,Théo Magnin,Foul,,,4244796
FC St. Gallen 1879,Home,90',Goal,Christian Witzig,Penalty,,,4244797
FC St. Gallen 1879,Home,46',Substitution,Julian Von Moos,Tactical,,Nikolaj Möller,4244797
FC St. Gallen 1879,Home,62',Substitution,Willem Geubbels,Tactical,,Patrick Sutter,4244797
FC Stade-Lausanne-Ouchy,Away,63',Substitution,Liridon Mulaj,Tactical,,Gabriel Kyeremateng,4244797
FC Stade-Lausanne-Ouchy,Away,82',Substitution,Mohamed Abdallah,Tactical,,Ibrahim Diakité,4244797
FC St. Gallen 1879,Home,85',Substitution,Víctor Ruiz,Tactical,,Bastien Toma,4244797
FC Stade-Lausanne-Ouchy,Away,90',Substitution,Sahmkou Camara,Tactical,,Elies Mahmoud,4244797
FC St. Gallen 1879,Home,10',Yellow Card,Christian Witzig,Foul,,,4244797
FC St. Gallen 1879,Home,11',Yellow Card,Nikolaj Möller,Foul,,,4244797
FC Stade-Lausanne-Ouchy,Away,61',Yellow Card,Dylan Ouedraogo,Foul,,,4244797
FC Stade-Lausanne-Ouchy,Away,72',Yellow Card,Jérémy Vachoux,Time wasting,,,4244797
FC Stade-Lausanne-Ouchy,Away,76',Yellow Card,Alban Ajdini,Foul,,,4244797
FC Stade-Lausanne-Ouchy,Away,90',Yellow Card,Elies Mahmoud,Time wasting,,,4244797
FC Basel 1893,Away,37',Goal,Gabriel Sigua,Right-footed shot,Dominik Schmid,,4244798
FC Basel 1893,Away,83',Goal,Thierno Barry,Left-footed shot,Dion Kacuri,,4244798
Yverdon Sport FC,Home,19',Substitution,Christopher Lungoyi,Injury,,Varol Tasar,4244798
FC Basel 1893,Away,61',Substitution,Albian Ajeti,Tactical,,Gabriel Sigua,4244798
FC Basel 1893,Away,61',Substitution,Juan Carlos Gauto,Tactical,,Mohamed Dräger,4244798
Yverdon Sport FC,Home,70',Substitution,Dominic Corness,Tactical,,Liziero,4244798
Yverdon Sport FC,Home,82',Substitution,Vladan Vidakovic,Tactical,,Boris Céspedes,4244798
